URN,la_code,la_name,establishment_number,establishment_name,type_of_establishment,establishment_type_group,establishment_status,phase_of_education,statutory_low_age,statutory_high_age,official_sixth_form,gender,admissions_policy,religious_character,school_capacity,number_of_pupils,percentage_fsm,postcode,easting,northing,lsoa_code,msoa_code,gor_name,urban_rural,london_sub_region,laestab,idaci_quintile,inspection_number,inspection_type,inspection_start_date,publication_date,overall_effectiveness,ofsted_overall_label,category_of_concern,quality_of_education,behaviour_and_attitudes,personal_development,effectiveness_of_leadership_and_management,safeguarding_is_effective,sixth_form_provision,previous_inspection_start_date,previous_overall_effectiveness,previous_category_of_concern,previous_quality_of_education,ks4_attainment8,ks4_pct_grade4_eng_maths,ks4_pct_grade5_eng_maths,ks4_progress8,ks4_p8_lower_ci,ks4_p8_upper_ci,ks4_pct_in_p8_calc,ks4_pct_entering_ebacc,ks4_pct_achieving_ebacc,ks4_ebacc_aps,ks4_total_pupils,scap_school_places,scap_pupils_on_roll,scap_unfilled_places,scap_pct_unfilled,scap_pupils_over_capacity,scap_pct_over_capacity,scap_utilisation_pct,sf_capacity,sf_pupils_on_roll,sf_utilisation_pct,wf_pupils_fte,wf_qualified_teachers_fte,wf_teachers_fte,wf_pupil_to_qual_unqual_teacher_ratio,imd_score,imd_rank,imd_decile,idaci_score,idaci_decile,imd_education_score,imd_education_decile,ks4_attainment8_england_quartile,ks4_p8_category,idaci_pct_approx,intake_neighbourhood_gap
136516,894,Telford and Wrekin,4364.0,Newport Girls' High School Academy,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Girls,Selective,Does not apply,720.0,836.0,6.4,TF10 7HL,374373.0,318470.0,E01014177,E02002930,West Midlands,Urban: Nearer to a major town or city,Not London,8944364.0,2.0,10229057,S5 Inspection,2022-11-01,07/12/2022,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,1.0,27/03/2007,1.0,,9.0,73.2,100.0,98.9,0.49,0.18,0.79,94.0,72.7,71.6,6.99,88.0,760.0,783.0,0,0,23,3.02631579,103.0,200.0,217.0,108.5,836.0,45.4,45.6,18.3,7.092,28540.0,9.0,0.189,8.0,9.749,7.0,Q4 (highest),Above avg (+0.1 to +0.5),30.0,-23.6
136517,305,Bromley,5403.0,Ravens Wood School,Academy converter,Academies,Open,Secondary,11.0,19.0,Has a sixth form,Boys,Non-selective,,1439.0,1592.0,12.0,BR2 8HP,541797.0,165342.0,E01000666,E02000159,London,Urban: Nearer to a major town or city,Outer London,3055403.0,1.0,10047924,S5 Inspection,2018-04-25,11/06/2018,2.0,Good,,9.0,9.0,9.0,2.0,Yes,2.0,11/03/2015,2.0,,9.0,47.5,74.7,48.9,-0.13,-0.32,0.05,97.0,77.2,35.0,4.41,237.0,1633.0,1605.0,28,1.71463564,0,0,98.3,433.0,472.0,109.0,1592.0,93.93,99.33,16.0,5.461,30382.0,10.0,0.146,9.0,9.396,7.0,Q3,Below avg (-0.5 to -0.1),20.0,-8.0
136519,312,Hillingdon,5401.0,Haydon School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,2040.0,1549.0,22.9,HA5 2LX,509962.0,189644.0,E01002479,E02000497,London,Urban: Nearer to a major town or city,Outer London,3125401.0,2.0,10227236,S5 Inspection,2022-10-04,22/11/2022,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,06/06/2007,1.0,,9.0,49.3,68.7,51.6,-0.19,-0.37,-0.01,86.0,18.5,11.4,4.17,281.0,2040.0,1677.0,363,17.79411765,0,0,82.2,504.0,373.0,74.0,1549.0,88.72,91.72,16.9,18.656,15809.0,5.0,0.293,6.0,11.854,7.0,Q3,Below avg (-0.5 to -0.1),50.0,-27.1
136521,871,Slough,5405.0,Langley Grammar School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Selective,,1270.0,1274.0,5.6,SL3 7QS,500570.0,178781.0,E01016505,E02003418,South East,Urban: Nearer to a major town or city,Not London,8715405.0,2.0,10199378,S5 Inspection,2021-11-24,30/01/2022,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,1.0,06/03/2007,1.0,,9.0,76.7,100.0,98.9,0.75,0.54,0.96,97.0,65.7,65.2,7.17,181.0,1270.0,1286.0,0,0,16,1.25984252,101.3,370.0,384.0,103.8,1274.0,77.52,78.18,16.3,20.897,14002.0,5.0,0.36,5.0,20.508,5.0,Q4 (highest),Well above avg (>+0.5),60.0,-54.4
136522,313,Hounslow,4029.0,Cranford Community College,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,1380.0,1554.0,29.9,TW5 9PD,510734.0,177722.0,E01002633,E02000530,London,Urban: Nearer to a major town or city,Outer London,3134029.0,3.0,10216618,S5 Inspection,2022-03-09,08/05/2022,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,10/10/2012,1.0,,9.0,54.0,81.6,66.7,0.6,0.4,0.8,94.0,95.7,46.4,5.12,207.0,1380.0,1477.0,0,0,97,7.02898551,107.0,329.0,447.0,135.9,1554.0,73.4,84.4,18.4,37.124,5409.0,2.0,0.627,2.0,34.224,3.0,Q4 (highest),Well above avg (>+0.5),90.0,-60.1
136524,908,Cornwall,4158.0,Camborne Science and International Academy,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1625.0,1783.0,26.1,TR14 7PP,163796.0,40149.0,E01018876,E02003924,South West,Urban: Further from a major town or city,Not London,9084158.0,4.0,10323515,S5 Inspection,2024-01-23,29/02/2024,2.0,Good,,2.0,2.0,2.0,2.0,Yes,1.0,22/03/2018,2.0,,9.0,47.3,63.5,43.2,-0.15,-0.32,0.01,98.0,6.6,5.6,3.86,301.0,1832.0,1780.0,52,2.83842795,0,0,97.2,315.0,232.0,73.7,1783.0,116.79,116.89,15.3,21.1,13844.0,5.0,0.309,5.0,16.62,5.0,Q3,Below avg (-0.5 to -0.1),60.0,-33.9
136525,841,Darlington,4221.0,Hurworth School,Academy converter,Academies,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Non-selective,,635.0,645.0,24.6,DL2 2JG,429841.0,509938.0,E01012339,E02002573,North East,Larger rural: Nearer to a major town or city,Not London,8414221.0,2.0,10228977,S5 Inspection,2022-09-21,10/11/2022,2.0,Good,,2.0,2.0,2.0,2.0,Yes,9.0,02/04/2008,1.0,,9.0,53.8,81.3,56.9,0.12,-0.13,0.37,98.0,8.1,8.1,4.34,123.0,635.0,657.0,0,0,22,3.46456693,103.5,,,,645.0,44.2,44.5,14.5,5.008,30887.0,10.0,0.052,10.0,2.45,10.0,Q4 (highest),Above avg (+0.1 to +0.5),10.0,14.600000000000001
136526,943,Westmorland and Furness,5404.0,The Queen Katherine School,Academy converter,Academies,Open,Secondary,11.0,19.0,Has a sixth form,Mixed,Non-selective,,1465.0,917.0,18.7,LA9 6PJ,352291.0,494014.0,E01019365,E02004017,North West,Urban: Further from a major town or city,Not London,9435404.0,1.0,10212284,Requires Improvement S5 Reinspection Visit 1,2022-03-30,25/05/2022,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,22/05/2018,3.0,,9.0,49.1,66.3,45.0,0.08,-0.14,0.31,95.0,36.3,20.0,4.28,160.0,1464.0,933.0,531,36.2704918,0,0,63.7,300.0,151.0,50.3,917.0,50.68,50.68,18.1,9.335,25799.0,8.0,0.151,8.0,5.731,9.0,Q3,Average (-0.1 to +0.1),30.0,-11.3
136527,916,Gloucestershire,5420.0,Cirencester Deer Park School,Academy converter,Academies,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Non-selective,,1045.0,1017.0,15.3,GL7 1XB,400928.0,201518.0,E01022195,E02004621,South West,Urban: Nearer to a major town or city,Not London,9165420.0,1.0,ITS412156,S5 Inspection,2013-06-20,12/07/2013,2.0,Good,,9.0,9.0,9.0,2.0,9,9.0,12/05/2010,1.0,,9.0,51.3,77.3,58.2,0.28,0.07,0.49,90.0,38.1,29.9,4.63,194.0,1045.0,1007.0,38,3.63636364,0,0,96.4,,,,1017.0,53.9,55.9,18.2,6.026,29712.0,9.0,0.098,10.0,3.776,9.0,Q3,Above avg (+0.1 to +0.5),10.0,5.300000000000001
136529,936,Surrey,4459.0,Sunbury Manor School,Academy converter,Academies,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Non-selective,,1350.0,943.0,29.0,TW16 6LF,509903.0,169598.0,E01030718,E02006413,South East,Urban: Nearer to a major town or city,Not London,9364459.0,3.0,10343122,S8 No Formal Designation Visit,2024-04-30,13/06/2024,4.0,Inadequate,SM,4.0,4.0,4.0,4.0,No,9.0,27/06/2012,2.0,,9.0,40.0,50.0,27.3,-0.67,-0.86,-0.49,96.0,16.4,6.7,3.31,238.0,1230.0,1065.0,165,13.41463415,0,0,86.6,,,,943.0,55.82,60.82,15.5,9.294,25847.0,8.0,0.197,7.0,6.58,8.0,Q1 (lowest),Well below avg (<-0.5),40.0,-11.0
136530,857,Rutland,5406.0,Catmose College,Academy converter,Academies,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Non-selective,,1200.0,1121.0,13.9,LE15 6RP,485388.0,309063.0,E01035103,E02002864,East Midlands,Urban: Further from a major town or city,Not London,8575406.0,1.0,10298464,S5 Inspection,2024-03-26,29/04/2024,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,9.0,01/02/2012,1.0,,9.0,52.4,76.0,56.4,0.5,0.3,0.69,100.0,48.0,34.8,4.72,204.0,1200.0,1095.0,105,8.75,0,0,91.2,,,,1121.0,65.97,68.89,16.3,9.531,25530.0,8.0,0.277,6.0,7.331,8.0,Q4 (highest),Above avg (+0.1 to +0.5),50.0,-36.1
136531,936,Surrey,4151.0,Weydon School,Academy converter,Academies,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Non-selective,,1650.0,1666.0,7.4,GU9 8UG,482923.0,145462.0,E01030905,E02006447,South East,Urban: Nearer to a major town or city,Not London,9364151.0,1.0,10256326,S5 Inspection,2023-04-25,17/07/2023,2.0,Good,,1.0,2.0,1.0,2.0,Yes,9.0,10/06/2009,1.0,,9.0,62.2,90.2,76.8,0.52,0.37,0.68,96.0,27.8,26.3,5.45,327.0,1650.0,1648.0,2,0.12121212,0,0,99.9,,,,1666.0,83.76,85.97,19.4,12.507,21992.0,7.0,0.255,6.0,18.634,5.0,Q4 (highest),Well above avg (>+0.5),50.0,-42.6
136533,908,Cornwall,4165.0,Newquay Tretherras,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,1634.0,1653.0,19.8,TR7 3BH,182876.0,61920.0,E01019019,E02003955,South West,Urban: Further from a major town or city,Not London,9084165.0,3.0,ITS426857,S5 Inspection,2013-09-17,09/10/2013,2.0,Good,,9.0,9.0,9.0,2.0,9,9.0,13/10/2010,1.0,,9.0,49.5,72.3,50.6,0.17,0.01,0.33,98.0,30.3,21.9,4.22,310.0,1800.0,1703.0,97,5.38888889,0,0,94.6,300.0,221.0,73.7,1653.0,104.87,105.38,15.7,13.649,20769.0,7.0,0.209,7.0,13.003,6.0,Q3,Above avg (+0.1 to +0.5),40.0,-20.2
136534,936,Surrey,5404.0,Glyn School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Boys,Non-selective,,1680.0,1692.0,7.6,KT17 1NB,521578.0,161920.0,E01030391,E02006341,South East,Urban: Nearer to a major town or city,Not London,9365404.0,1.0,10288000,S5 Inspection,2023-09-12,22/10/2023,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,1.0,15/05/2012,1.0,,9.0,56.1,85.7,64.9,0.46,0.27,0.64,89.0,71.7,44.6,5.33,251.0,1705.0,1692.0,13,0.76246334,0,0,99.2,505.0,463.0,91.7,1692.0,92.43,94.43,17.9,6.409,29290.0,9.0,0.184,8.0,2.247,10.0,Q4 (highest),Above avg (+0.1 to +0.5),30.0,-22.4
136538,303,Bexley,4603.0,"Trinity Church of England School, Belvedere",Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Church of England,900.0,1051.0,33.3,DA17 6HT,550151.0,178565.0,E01000406,E02000069,London,Urban: Nearer to a major town or city,Outer London,3034603.0,4.0,10002019,Requires Improvement S5 Reinspection Visit 1,2016-02-02,29/02/2016,2.0,Good,,9.0,9.0,9.0,2.0,Yes,2.0,27/11/2013,3.0,,9.0,39.3,58.5,38.6,-0.54,-0.76,-0.33,92.0,60.8,21.0,3.57,176.0,1100.0,1071.0,29,2.63636364,0,0,97.4,240.0,191.0,79.6,1051.0,60.98,68.23,15.4,19.67,14966.0,5.0,0.254,6.0,15.913,6.0,Q1 (lowest),Well below avg (<-0.5),50.0,-16.700000000000003
136540,305,Bromley,5413.0,The Ravensbourne School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,1330.0,1531.0,29.9,BR2 9EH,540682.0,168046.0,E01000671,E02000146,London,Urban: Nearer to a major town or city,Outer London,3055413.0,3.0,10293271,S5 Inspection,2024-01-23,04/03/2024,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,30/09/2014,2.0,,9.0,48.4,74.0,51.0,0.11,-0.09,0.31,95.0,37.7,24.5,4.17,204.0,1602.0,1497.0,105,6.55430712,0,0,93.4,421.0,431.0,102.4,1531.0,76.95,80.95,18.9,11.143,23611.0,7.0,0.227,7.0,3.417,9.0,Q3,Above avg (+0.1 to +0.5),40.0,-10.100000000000001
136543,896,Cheshire West and Chester,4623.0,The Bishops' Blue Coat Church of England High School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Church of England,1200.0,1203.0,15.9,CH3 5XF,342202.0,365589.0,E01018321,E02003806,North West,Urban: Nearer to a major town or city,Not London,8964623.0,2.0,10110924,S5 Inspection,2019-11-20,06/01/2020,2.0,Good,,2.0,2.0,1.0,2.0,Yes,2.0,11/03/2015,2.0,,9.0,48.8,72.0,45.9,0.26,0.06,0.47,89.0,19.3,15.9,4.15,207.0,1210.0,1177.0,33,2.72727273,0,0,97.3,158.0,153.0,96.8,1203.0,64.85,65.14,18.5,5.121,30748.0,10.0,0.032,10.0,1.409,10.0,Q3,Above avg (+0.1 to +0.5),10.0,5.9
136544,816,York,4602.0,Manor Church of England Academy,Academy converter,Academies,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Non-selective,Church of England,1086.0,1141.0,14.1,YO26 6PA,456691.0,453546.0,E01013422,E02002782,Yorkshire and the Humber,Urban: Nearer to a major town or city,Not London,8164602.0,1.0,10211901,S5 Inspection,2022-03-29,03/07/2022,2.0,Good,,2.0,2.0,2.0,2.0,Yes,9.0,06/11/2007,1.0,,9.0,53.1,74.8,59.3,0.27,0.09,0.46,98.0,16.8,12.4,4.52,226.0,1107.0,1156.0,0,0,49,4.4263776,104.4,,,,1141.0,64.32,64.32,17.7,5.542,30284.0,9.0,0.226,7.0,4.343,9.0,Q4 (highest),Above avg (+0.1 to +0.5),40.0,-25.9
136545,305,Bromley,5409.0,Charles Darwin School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,1356.0,1314.0,23.5,TN16 3AU,542640.0,159356.0,E01000748,E02006789,London,Urban: Nearer to a major town or city,Outer London,3055409.0,3.0,10287213,S5 Inspection,2023-06-15,06/09/2023,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,24/10/2013,2.0,,9.0,42.6,59.2,37.9,-0.34,-0.53,-0.15,98.0,14.7,10.9,3.57,211.0,1420.0,1311.0,109,7.67605634,0,0,92.3,300.0,213.0,71.0,1314.0,77.62,80.12,16.4,9.919,25070.0,8.0,0.097,10.0,19.967,5.0,Q2,Below avg (-0.5 to -0.1),10.0,13.5
136548,830,Derbyshire,4196.0,Brookfield Community School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1110.0,1168.0,19.9,S40 3NS,435441.0,370671.0,E01019592,E02004065,East Midlands,Urban: Nearer to a major town or city,Not London,8304196.0,1.0,10268212,Requires Improvement S5 Reinspection Visit 1,2023-04-18,14/06/2023,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,25/06/2019,3.0,,9.0,52.2,81.8,58.0,0.35,0.13,0.56,98.0,38.6,30.7,4.55,176.0,1090.0,1139.0,0,0,49,4.49541284,104.5,360.0,251.0,69.7,1168.0,64.45,64.45,18.1,3.042,32694.0,10.0,0.058,10.0,1.463,10.0,Q4 (highest),Above avg (+0.1 to +0.5),10.0,9.899999999999999
136551,305,Bromley,5405.0,Newstead Wood School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Girls,Selective,,955.0,1262.0,6.3,BR6 9SA,544472.0,165153.0,E01000757,E02000157,London,Urban: Nearer to a major town or city,Outer London,3055405.0,2.0,10212546,S5 Inspection,2022-02-02,17/03/2022,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,1.0,08/05/2014,1.0,,9.0,80.2,100.0,98.1,1.05,0.82,1.28,89.0,56.6,56.0,7.36,159.0,1160.0,1260.0,0,0,100,8.62068966,108.6,360.0,442.0,122.8,1262.0,67.29,68.29,18.5,0.89,33723.0,10.0,0.05,10.0,1.388,10.0,Q4 (highest),Well above avg (>+0.5),10.0,-3.7
136552,822,Bedford,4000.0,Goldington Academy,Academy converter,Academies,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Not applicable,,750.0,942.0,22.7,MK41 9BX,506574.0,250711.0,E01017488,E02003622,East of England,Urban: Nearer to a major town or city,Not London,8224000.0,2.0,10210940,S5 Inspection,2022-02-01,17/03/2022,2.0,Good,,2.0,2.0,1.0,1.0,Yes,9.0,08/11/2012,2.0,,9.0,54.1,80.9,63.6,0.85,0.63,1.07,95.0,61.3,43.4,5.03,173.0,750.0,929.0,0,0,179,23.86666667,123.9,,,,942.0,50.3,50.5,18.7,7.652,27868.0,9.0,0.146,9.0,15.563,6.0,Q4 (highest),Well above avg (>+0.5),20.0,2.6999999999999993
136554,919,Hertfordshire,5407.0,Dame Alice Owen's School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,1416.0,1468.0,3.7,EN6 2DU,524019.0,200635.0,E01023569,E02004897,East of England,Urban: Nearer to a major town or city,Not London,9195407.0,1.0,10255029,S5 Inspection,2023-12-05,29/01/2024,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,1.0,07/05/2009,1.0,,9.0,73.5,93.3,88.1,0.92,0.72,1.13,86.0,77.1,74.3,7.04,210.0,1416.0,1478.0,0,0,62,4.37853107,104.4,416.0,464.0,111.5,1468.0,92.92,94.41,15.5,7.723,27790.0,9.0,0.175,8.0,8.601,8.0,Q4 (highest),Well above avg (>+0.5),30.0,-26.3
136555,881,Essex,4001.0,Debden Park High School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,1120.0,1050.0,18.5,IG10 2BQ,544661.0,197133.0,E01021775,E02004537,East of England,Urban: Nearer to a major town or city,Not London,8814001.0,3.0,10345305,S5 Inspection,2025-03-25,18/05/2025,,,,2.0,2.0,1.0,1.0,Yes,1.0,17/01/2017,1.0,,9.0,48.4,73.0,44.8,0.02,-0.19,0.24,96.0,21.8,12.1,4.08,174.0,1120.0,1061.0,59,5.26785714,0,0,94.7,220.0,183.0,83.2,1050.0,62.9,65.9,15.9,19.452,15142.0,5.0,0.295,6.0,22.874,4.0,Q3,Average (-0.1 to +0.1),50.0,-31.5
136556,879,Plymouth,4178.0,Plympton Academy,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1350.0,1078.0,21.1,PL7 2RS,254291.0,56294.0,E01015123,E02003136,South West,Urban: Nearer to a major town or city,Not London,8794178.0,2.0,10297978,Requires Improvement S5 Reinspection Visit 1,2024-03-19,15/05/2024,3.0,Requires improvement,,3.0,2.0,2.0,3.0,Yes,3.0,10/03/2020,3.0,,3.0,41.6,59.4,36.5,-0.39,-0.59,-0.19,97.0,19.8,7.6,3.5,197.0,1350.0,1126.0,224,16.59259259,0,0,83.4,300.0,129.0,43.0,1078.0,60.18,60.18,17.9,12.877,21570.0,7.0,0.258,6.0,12.091,7.0,Q2,Below avg (-0.5 to -0.1),50.0,-28.9
136557,879,Plymouth,4179.0,Hele's School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1349.0,1393.0,16.2,PL7 4LT,253281.0,56755.0,E01015120,E02003136,South West,Urban: Nearer to a major town or city,Not London,8794179.0,2.0,10033143,Requires Improvement S5 Reinspection Visit 1,2017-07-12,19/09/2017,2.0,Good,,9.0,9.0,9.0,2.0,Yes,2.0,30/04/2015,3.0,,9.0,47.3,68.5,44.8,-0.09,-0.27,0.09,99.0,53.4,36.6,4.45,232.0,1349.0,1388.0,0,0,39,2.89103039,102.9,132.0,205.0,155.3,1393.0,72.2,72.2,19.3,8.174,27247.0,9.0,0.141,9.0,9.496,7.0,Q3,Average (-0.1 to +0.1),20.0,-3.8000000000000007
136558,879,Plymouth,4181.0,Coombe Dean School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1180.0,1003.0,20.6,PL9 8ES,252286.0,52595.0,E01015128,E02003153,South West,Urban: Nearer to a major town or city,Not London,8794181.0,3.0,10217962,Requires Improvement S5 Reinspection Visit 1,2022-03-22,22/05/2022,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,28/11/2018,3.0,,9.0,48.6,75.0,53.3,0.16,-0.07,0.39,96.0,33.6,27.6,4.38,152.0,1180.0,998.0,182,15.42372881,0,0,84.6,280.0,137.0,48.9,1003.0,51.19,51.19,19.6,9.507,25559.0,8.0,0.156,8.0,11.32,7.0,Q3,Above avg (+0.1 to +0.5),30.0,-9.399999999999999
136559,823,Central Bedfordshire,4003.0,Redborne Upper School and Community College,Academy converter,Academies,Open,Secondary,13.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1418.0,1592.0,13.8,MK45 2NU,503215.0,236706.0,E01017373,E02003610,East of England,Urban: Nearer to a major town or city,Not London,8234003.0,1.0,10323702,S5 Inspection,2024-07-02,10/09/2024,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,07/11/2017,2.0,,9.0,45.3,68.1,44.1,0.08,-0.07,0.22,98.0,28.6,19.1,3.85,392.0,1520.0,1573.0,0,0,53,3.48684211,103.5,380.0,396.0,104.2,1592.0,93.9,93.9,17.0,3.783,32052.0,10.0,0.121,9.0,6.378,8.0,Q2,Average (-0.1 to +0.1),20.0,-6.199999999999999
136560,823,Central Bedfordshire,4117.0,Woodland Middle School Academy,Academy converter,Academies,Open,Middle deemed secondary,9.0,13.0,Does not have a sixth form,Mixed,Non-selective,Does not apply,720.0,670.0,16.4,MK45 1NP,502961.0,235019.0,E01017407,E02003614,East of England,Urban: Nearer to a major town or city,Not London,8234117.0,1.0,10031389,Requires Improvement S5 Reinspection Visit 1,2017-05-17,03/07/2017,2.0,Good,,9.0,9.0,9.0,2.0,Yes,9.0,11/03/2015,3.0,,9.0,,,,,,,,,,,,720.0,707.0,13,1.80555556,0,0,98.2,,,,670.0,32.24,33.24,20.2,5.914,29858.0,9.0,0.147,9.0,8.316,8.0,,,20.0,-3.6000000000000014
136567,908,Cornwall,4166.0,Penair School,Academy converter,Academies,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Non-selective,,1320.0,1239.0,19.1,TR1 1TN,184107.0,45237.0,E01018853,E02003908,South West,Urban: Further from a major town or city,Not London,9084166.0,2.0,10033144,Requires Improvement S5 Reinspection Visit 2,2017-04-19,17/05/2017,2.0,Good,,9.0,9.0,9.0,2.0,Yes,9.0,25/06/2015,3.0,,9.0,48.0,70.2,54.1,0.05,-0.15,0.25,94.0,10.2,6.8,3.9,205.0,1350.0,1186.0,164,12.14814815,0,0,87.9,,,,1239.0,75.44,77.44,16.0,17.184,17099.0,6.0,0.433,4.0,27.872,3.0,Q3,Average (-0.1 to +0.1),70.0,-50.9
136568,879,Plymouth,4180.0,Plymstock School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,1680.0,1607.0,16.8,PL9 9AZ,251587.0,53450.0,E01015134,E02003153,South West,Urban: Nearer to a major town or city,Not London,8794180.0,2.0,10268797,S5 Inspection,2023-04-19,14/06/2023,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,23/04/2013,2.0,,9.0,46.1,67.6,47.8,0.0,-0.17,0.17,95.0,33.5,23.4,4.08,278.0,1680.0,1666.0,14,0.83333333,0,0,99.2,380.0,214.0,56.3,1607.0,82.22,83.22,19.3,8.134,27300.0,9.0,0.125,9.0,11.633,7.0,Q3,Average (-0.1 to +0.1),20.0,-3.1999999999999993
136569,878,Devon,4108.0,South Dartmoor Community College,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,,1708.0,795.0,20.6,TQ13 7EW,276349.0,70839.0,E01020195,E02004217,South West,Smaller rural: Nearer to a major town or city,Not London,8784108.0,2.0,10322244,Requires Improvement S5 Reinspection Visit 2,2024-09-24,20/10/2024,,,,2.0,2.0,2.0,2.0,Yes,2.0,29/03/2022,3.0,,3.0,44.1,62.6,41.7,0.06,-0.21,0.32,94.0,20.0,13.0,3.8,115.0,1708.0,798.0,910,53.27868852,0,0,46.7,345.0,129.0,37.4,795.0,49.37,49.74,16.0,18.886,15595.0,5.0,0.425,4.0,24.899,4.0,Q2,Average (-0.1 to +0.1),70.0,-49.4
136570,886,Kent,5449.0,Queen Elizabeth's Grammar School,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Selective,,1000.0,1101.0,7.8,ME13 7BQ,601923.0,161598.0,E01024553,E02005129,South East,Urban: Nearer to a major town or city,Not London,8865449.0,2.0,10265832,S5 Inspection,2023-02-28,27/04/2023,2.0,Good,,2.0,1.0,1.0,2.0,Yes,2.0,24/03/2015,1.0,,9.0,63.2,96.1,88.3,0.15,-0.08,0.37,99.0,68.2,57.1,5.82,154.0,1150.0,1057.0,93,8.08695652,0,0,91.9,251.0,261.0,104.0,1101.0,55.34,58.46,18.8,14.263,20126.0,6.0,0.281,6.0,5.722,9.0,Q4 (highest),Above avg (+0.1 to +0.5),50.0,-42.2
136571,886,Kent,4172.0,Hartsdown Academy,Academy converter,Academies,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,1175.0,837.0,62.1,CT9 5RE,634567.0,169921.0,E01024672,E02005136,South East,Urban: Further from a major town or city,Not London,8864172.0,5.0,10203129,Requires Improvement S5 Reinspection Visit 1,2021-12-07,30/01/2022,2.0,Good,,2.0,2.0,2.0,2.0,Yes,2.0,08/03/2018,3.0,,9.0,33.1,36.6,17.1,-0.39,-0.66,-0.12,87.0,12.2,7.3,2.8,123.0,1175.0,836.0,339,28.85106383,0,0,71.1,200.0,42.0,21.0,837.0,51.03,61.17,13.7,44.804,3409.0,2.0,0.621,2.0,52.245,1.0,Q1 (lowest),Below avg (-0.5 to -0.1),90.0,-27.9
