URN,la_code,la_name,establishment_number,establishment_name,type_of_establishment,establishment_type_group,establishment_status,phase_of_education,statutory_low_age,statutory_high_age,official_sixth_form,gender,admissions_policy,religious_character,school_capacity,number_of_pupils,percentage_fsm,postcode,easting,northing,lsoa_code,msoa_code,gor_name,urban_rural,london_sub_region,laestab,idaci_quintile,inspection_number,inspection_type,inspection_start_date,publication_date,overall_effectiveness,ofsted_overall_label,category_of_concern,quality_of_education,behaviour_and_attitudes,personal_development,effectiveness_of_leadership_and_management,safeguarding_is_effective,sixth_form_provision,previous_inspection_start_date,previous_overall_effectiveness,previous_category_of_concern,previous_quality_of_education,ks4_attainment8,ks4_pct_grade4_eng_maths,ks4_pct_grade5_eng_maths,ks4_progress8,ks4_p8_lower_ci,ks4_p8_upper_ci,ks4_pct_in_p8_calc,ks4_pct_entering_ebacc,ks4_pct_achieving_ebacc,ks4_ebacc_aps,ks4_total_pupils,scap_school_places,scap_pupils_on_roll,scap_unfilled_places,scap_pct_unfilled,scap_pupils_over_capacity,scap_pct_over_capacity,scap_utilisation_pct,sf_capacity,sf_pupils_on_roll,sf_utilisation_pct,wf_pupils_fte,wf_qualified_teachers_fte,wf_teachers_fte,wf_pupil_to_qual_unqual_teacher_ratio,imd_score,imd_rank,imd_decile,idaci_score,idaci_decile,imd_education_score,imd_education_decile,ks4_attainment8_england_quartile,ks4_p8_category,idaci_pct_approx,intake_neighbourhood_gap
100977,211,Tower Hamlets,4722.0,Stepney All Saints Church of England Secondary School,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Church of England,1540.0,1373.0,49.1,E1 0RH,535821.0,181528.0,E01004288,E02000882,London,Urban: Nearer to a major town or city,Inner London,2114722.0,5.0,10003991,Schools into Special Measures Visit 3,2015-10-07,10/12/2015,1.0,Outstanding,,9.0,9.0,9.0,1.0,Yes,2.0,09/10/2014,4.0,SM,9.0,58.1,79.5,65.4,0.77,0.57,0.96,98.0,87.3,58.5,5.43,205.0,1555.0,1359.0,196,12.60450161,0,0,87.4,500.0,339.0,67.8,1373.0,102.0,109.6,12.5,44.119,3567.0,2.0,0.829,1.0,27.744,3.0,Q4 (highest),Well above avg (>+0.5),100.0,-50.9
101154,213,Westminster,4723.0,St Augustine's Federated Schools: CE High School,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Church of England,1000.0,1011.0,53.6,NW6 5SN,525469.0,183256.0,E01004710,E02000961,London,Urban: Nearer to a major town or city,Inner London,2134723.0,5.0,10265829,S5 Inspection,2023-03-07,03/05/2023,2.0,Good,,2.0,2.0,1.0,2.0,Yes,2.0,18/09/2013,1.0,,9.0,49.0,71.3,51.8,0.11,-0.11,0.34,95.0,25.6,14.0,4.24,164.0,960.0,1007.0,0,0,47,4.89583333,104.9,120.0,132.0,110.0,1011.0,62.9,66.9,15.1,30.467,8049.0,3.0,0.722,1.0,20.404,5.0,Q3,Above avg (+0.1 to +0.5),100.0,-46.4
101241,301,Barking and Dagenham,4021.0,"Barking Abbey School, A Specialist Sports and Humanities College",Community school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,2334.0,2336.0,28.1,IG11 9AG,545828.0,184731.0,E01000066,E02000012,London,Urban: Nearer to a major town or city,Outer London,3014021.0,4.0,10296586,S5 Inspection,2024-01-31,04/03/2024,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,1.0,26/09/2012,2.0,,9.0,48.6,65.4,46.7,0.02,-0.13,0.17,95.0,32.6,19.5,4.16,353.0,2660.0,2324.0,336,12.63157895,0,0,87.4,806.0,504.0,62.5,2336.0,148.57,159.57,14.6,21.257,13708.0,5.0,0.375,4.0,21.54,4.0,Q3,Average (-0.1 to +0.1),70.0,-41.9
101243,301,Barking and Dagenham,4023.0,Eastbrook School,Community school,Local authority maintained schools,Open,All-through,4.0,19.0,Has a sixth form,Mixed,Non-selective,Does not apply,2638.0,1198.0,37.2,RM10 7UR,550112.0,185839.0,E01000035,E02000011,London,Urban: Nearer to a major town or city,Outer London,3014023.0,4.0,10200572,Requires Improvement S5 Reinspection Visit 3,2021-12-07,30/01/2022,2.0,Good,,2.0,2.0,2.0,2.0,Yes,9.0,09/01/2018,3.0,,9.0,35.2,45.2,23.0,-0.62,-0.83,-0.42,78.0,26.5,11.7,3.02,230.0,2675.0,1194.0,1481,55.36448598,0,0,44.6,245.0,80.0,32.7,1198.0,76.49,83.49,14.3,29.504,8514.0,3.0,0.533,3.0,32.353,3.0,Q1 (lowest),Well below avg (<-0.5),80.0,-42.8
101244,301,Barking and Dagenham,4024.0,Eastbury Community School,Community school,Local authority maintained schools,Open,All-through,3.0,19.0,Has a sixth form,Mixed,Non-selective,Does not apply,2236.0,2134.0,29.0,IG11 9UW,545048.0,184690.0,E01000068,E02000017,London,Urban: Nearer to a major town or city,Outer London,3014024.0,4.0,10047357,S5 Inspection,2018-07-11,12/09/2018,2.0,Good,,9.0,9.0,9.0,2.0,Yes,1.0,16/01/2013,2.0,,9.0,46.0,61.8,42.0,0.21,0.04,0.39,89.0,6.4,4.2,3.7,283.0,2443.0,2116.0,327,13.38518215,0,0,86.6,523.0,249.0,47.6,2101.0,130.69,131.69,16.0,23.118,12348.0,4.0,0.496,3.0,23.615,4.0,Q3,Above avg (+0.1 to +0.5),80.0,-51.0
101245,301,Barking and Dagenham,4027.0,Robert Clack School,Community school,Local authority maintained schools,Open,All-through,3.0,18.0,Has a sixth form,Mixed,Non-selective,Does not apply,2500.0,3129.0,30.1,RM8 1JU,549400.0,187065.0,E01000061,E02000007,London,Urban: Nearer to a major town or city,Outer London,3014027.0,4.0,10293214,S5 Inspection,2023-11-22,18/01/2024,2.0,Good,,2.0,1.0,1.0,1.0,Yes,1.0,08/10/2013,2.0,,9.0,49.1,69.3,50.0,0.16,0.0,0.31,96.0,8.8,5.8,3.92,342.0,3897.0,2910.0,987,25.32717475,0,0,74.7,567.0,364.0,64.2,3129.0,178.53,199.24,15.7,55.406,1545.0,1.0,0.931,1.0,31.392,3.0,Q3,Above avg (+0.1 to +0.5),100.0,-69.9
101247,301,Barking and Dagenham,4703.0,All Saints Catholic School and Technology College,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Mixed,Non-selective,Roman Catholic,1520.0,1353.0,26.1,RM8 1JT,549215.0,187064.0,E01000061,E02000007,London,Urban: Nearer to a major town or city,Outer London,3014703.0,4.0,10323275,S5 Inspection,2024-05-01,13/06/2024,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,1.0,08/10/2013,2.0,,9.0,53.8,74.7,55.7,0.72,0.53,0.9,95.0,82.3,44.7,4.95,237.0,1644.0,1380.0,264,16.05839416,0,0,83.9,446.0,207.0,46.4,1353.0,91.74,92.74,14.6,55.406,1545.0,1.0,0.931,1.0,31.392,3.0,Q4 (highest),Well above avg (>+0.5),100.0,-73.9
101345,302,Barnet,4003.0,Friern Barnet School,Community school,Local authority maintained schools,Open,Secondary,11.0,16.0,Does not have a sixth form,Mixed,Non-selective,Does not apply,810.0,641.0,37.4,N11 3LS,527853.0,192405.0,E01000158,E02000038,London,Urban: Nearer to a major town or city,Outer London,3024003.0,3.0,10055201,S5 Inspection,2018-10-30,22/11/2018,2.0,Good,,9.0,9.0,9.0,2.0,Yes,9.0,25/02/2014,2.0,,9.0,44.6,62.9,36.4,0.0,-0.24,0.25,85.0,23.8,15.2,3.71,151.0,815.0,714.0,101,12.39263804,0,0,87.6,,,,641.0,52.85,53.85,11.9,18.054,16312.0,5.0,0.352,5.0,8.752,8.0,Q2,Average (-0.1 to +0.1),60.0,-22.6
101361,302,Barnet,5404.0,St Michael's Catholic Grammar School,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Girls,Selective,Roman Catholic,940.0,891.0,10.5,N12 7NJ,526058.0,192177.0,E01000300,E02000042,London,Urban: Nearer to a major town or city,Outer London,3025404.0,3.0,10211795,S5 Inspection,2022-11-09,29/12/2022,1.0,Outstanding,,1.0,1.0,1.0,1.0,Yes,1.0,13/02/2008,1.0,,9.0,79.3,99.2,98.4,0.98,0.73,1.22,98.0,72.7,72.7,7.46,128.0,920.0,855.0,65,7.06521739,0,0,92.9,280.0,216.0,77.1,891.0,57.93,63.33,14.1,11.794,22827.0,7.0,0.166,8.0,1.952,10.0,Q4 (highest),Well above avg (>+0.5),30.0,-19.5
101362,302,Barnet,5405.0,Finchley Catholic High School,Voluntary aided school,Local authority maintained schools,Open,Secondary,11.0,18.0,Has a sixth form,Boys,Non-selective,Roman Catholic,1200.0,1192.0,13.7,N12 8TA,526022.0,193124.0,E01000284,E02000035,London,Urban: Nearer to a major town or city,Outer London,3025405.0,2.0,ITS425629,S5 Inspection,2013-11-06,28/11/2013,2.0,Good,,9.0,9.0,9.0,2.0,9,9.0,06/11/2008,2.0,,9.0,63.2,91.0,77.4,0.94,0.73,1.16,95.0,45.2,39.5,5.62,177.0,1303.0,1197.0,106,8.13507291,0,0,91.9,300.0,308.0,102.7,1192.0,73.04,73.04,16.3,18.393,16012.0,5.0,0.426,4.0,12.493,7.0,Q4 (highest),Well above avg (>+0.5),70.0,-56.3
